corpus,section,subsection,bucket,priority,title,org,authors,year,url,verified,relevance,license,est_chunks,include,notes,status,raw_path,extracted_path,bytes,chars,error
Platforms,Section A — US Air Platforms (Strike & Multi-role),A1 — Fifth-Generation Strike / Multi-role,platform_us_air,P1,F-15EX Eagle II,Wikipedia,Wikipedia contributors,2024,https://en.wikipedia.org/wiki/Boeing_F-15EX_Eagle_II,,"F-15EX, AN/APG-82 AESA, Eagle Passive/Active Warning Survivability System (EPAWSS), 29,500 lb payload capacity; key upgrade over F-15E",Wikipedia (CC BY-SA 4.0),8,Y,,ok,/home/user/workspace/joint_fires_corpus/raw/platform_us_air/f-15ex-eagle-ii-63a08619.txt,/home/user/workspace/joint_fires_corpus/extracted/platform_us_air/f-15ex-eagle-ii-63a08619.txt,22962,22937,
Platforms,Section A — US Air Platforms (Strike & Multi-role),A2 — Naval Aviation Strike / Multi-role,platform_us_air,P1,Boeing EA-18G Growler,Wikipedia,Wikipedia contributors,2024,https://en.wikipedia.org/wiki/Boeing_EA-18G_Growler,,"Electronic attack platform, AN/ALQ-99/NGJ-MB pod, airborne electronic attack (AEA), SEAD/DEAD mission, kill chain EW layer",Wikipedia (CC BY-SA 4.0),10,Y,,ok,/home/user/workspace/joint_fires_corpus/raw/platform_us_air/boeing-ea-18g-growler-ef921b1a.txt,/home/user/workspace/joint_fires_corpus/extracted/platform_us_air/boeing-ea-18g-growler-ef921b1a.txt,19979,19978,
Platforms,Section A — US Air Platforms (Strike & Multi-role),A3 — Strategic Bombers,platform_us_air,P1,Boeing B-52 Stratofortress,Wikipedia,Wikipedia contributors,2024,https://en.wikipedia.org/wiki/Boeing_B-52_Stratofortress,,"B-52H with JASSM/LRASM, nuclear gravity bombs, standoff munitions; Commercial Engine Replacement Program (CERP); long-range maritime patrol/strike",Wikipedia (CC BY-SA 4.0),15,Y,,ok,/home/user/workspace/joint_fires_corpus/raw/platform_us_air/boeing-b-52-stratofortress-239d9f6e.txt,/home/user/workspace/joint_fires_corpus/extracted/platform_us_air/boeing-b-52-stratofortress-239d9f6e.txt,73703,73566,
Platforms,Section A — US Air Platforms (Strike & Multi-role),A2 — Naval Aviation Strike / Multi-role,platform_us_air,P1,BAE Systems AV-8B Harrier II,Wikipedia,Wikipedia contributors,2024,https://en.wikipedia.org/wiki/McDonnell_Douglas_AV-8B_Harrier_II,,"USMC STOVL close air support, expeditionary fires, LITENING pod integration; legacy baseline for F-35B/EABO transition",Wikipedia (CC BY-SA 4.0),10,Y,,ok,/home/user/workspace/joint_fires_corpus/raw/platform_us_air/bae-systems-av-8b-harrier-ii-2207dd36.txt,/home/user/workspace/joint_fires_corpus/extracted/platform_us_air/bae-systems-av-8b-harrier-ii-2207dd36.txt,46998,46909,
Platforms,Section A — US Air Platforms (Strike & Multi-role),A3 — Strategic Bombers,platform_us_air,P1,B-21 Raider (Northrop Grumman product page),Northrop Grumman,Northrop Grumman,2024,https://www.northropgrumman.com/what-we-do/air/b-21-raider/,Y,"Official manufacturer long-range strike overview; 6th-generation, penetrating ISR-strike, B61/LRSO carriage, production acceleration",Manufacturer (public marketing),3,Y,,ok,/home/user/workspace/joint_fires_corpus/raw/platform_us_air/b-21-raider-northrop-grumman-product-page-5f5f39ad.html,/home/user/workspace/joint_fires_corpus/extracted/platform_us_air/b-21-raider-northrop-grumman-product-page-5f5f39ad.txt,117035,3680,
Platforms,Section A — US Air Platforms (Strike & Multi-role),A1 — Fifth-Generation Strike / Multi-role,platform_us_air,P1,F-35 Lightning II (Lockheed Martin product page),Lockheed Martin,Lockheed Martin,2024,https://www.lockheedmartin.com/en-us/products/f-35.html,Y,"Official manufacturer overview including avionics suite, sensor fusion, multi-role combat radius specs",Manufacturer (public marketing),4,Y,,ok,/home/user/workspace/joint_fires_corpus/raw/platform_us_air/f-35-lightning-ii-lockheed-martin-product-page-481e85fb.html,/home/user/workspace/joint_fires_corpus/extracted/platform_us_air/f-35-lightning-ii-lockheed-martin-product-page-481e85fb.txt,105488,3908,
Platforms,Section A — US Air Platforms (Strike & Multi-role),A1 — Fifth-Generation Strike / Multi-role,platform_us_air,P1,General Dynamics F-16 Fighting Falcon,Wikipedia,Wikipedia contributors,2024,https://en.wikipedia.org/wiki/General_Dynamics_F-16_Fighting_Falcon,,"F-16C/D Block 70/72 (Viper), APG-83 SABR AESA, HMD/S, precision fires integration; mainstay of allied fire support and SEAD",Wikipedia (CC BY-SA 4.0),15,Y,,ok,/home/user/workspace/joint_fires_corpus/raw/platform_us_air/general-dynamics-f-16-fighting-falcon-eef259d3.txt,/home/user/workspace/joint_fires_corpus/extracted/platform_us_air/general-dynamics-f-16-fighting-falcon-eef259d3.txt,78654,78530,
Platforms,Section A — US Air Platforms (Strike & Multi-role),A2 — Naval Aviation Strike / Multi-role,platform_us_air,P1,Boeing F/A-18E/F Super Hornet,Wikipedia,Wikipedia contributors,2024,https://en.wikipedia.org/wiki/Boeing_F/A-18E/F_Super_Hornet,,"F/A-18E/F strike, AN/APG-79 AESA, JHMCS, Lot 26 Block III (conformal fuel tanks, IRST21, advanced cockpit), CEC integration",Wikipedia (CC BY-SA 4.0),12,Y,,ok,/home/user/workspace/joint_fires_corpus/raw/platform_us_air/boeing-f-a-18e-f-super-hornet-97d875b4.txt,/home/user/workspace/joint_fires_corpus/extracted/platform_us_air/boeing-f-a-18e-f-super-hornet-97d875b4.txt,60215,60162,
Platforms,Section A — US Air Platforms (Strike & Multi-role),A4 — Special Operations / Close Air Support,platform_us_air,P1,Fairchild Republic A-10 Thunderbolt II,Wikipedia,Wikipedia contributors,2024,https://en.wikipedia.org/wiki/Fairchild_Republic_A-10_Thunderbolt_II,,"A-10C CAS, GAU-8, Maverick, JDAM, LITENING/Sniper pod, survivability; JTAC-directed fires; USAF CAS mission planning baseline",Wikipedia (CC BY-SA 4.0),12,Y,,ok,/home/user/workspace/joint_fires_corpus/raw/platform_us_air/fairchild-republic-a-10-thunderbolt-ii-3ddadcbb.txt,/home/user/workspace/joint_fires_corpus/extracted/platform_us_air/fairchild-republic-a-10-thunderbolt-ii-3ddadcbb.txt,57813,57580,
Platforms,Section A — US Air Platforms (Strike & Multi-role),A1 — Fifth-Generation Strike / Multi-role,platform_us_air,P1,Lockheed Martin F-35 Lightning II,Wikipedia,Wikipedia contributors,2024,https://en.wikipedia.org/wiki/Lockheed_Martin_F-35_Lightning_II,Y,"Comprehensive article on F-35A/B/C variants, EOTS, DAS, APG-81, stealth, multi-role mission sets; essential for understanding 5th-gen fires integration",Wikipedia (CC BY-SA 4.0),15,Y,,ok,/home/user/workspace/joint_fires_corpus/raw/platform_us_air/lockheed-martin-f-35-lightning-ii-05534429.txt,/home/user/workspace/joint_fires_corpus/extracted/platform_us_air/lockheed-martin-f-35-lightning-ii-05534429.txt,97574,97439,
